Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,VOLUME 
03-Feb-2025,525,558,516,531.8,548.05,546.15,"74,42,129"
04-Feb-2025,556,579.9,545.4,546.15,577,576.75,"1,22,90,382"
05-Feb-2025,577,590.8,568.4,576.75,570,571.3,"69,53,215"
06-Feb-2025,570,570,554.35,571.3,567.9,566.35,"63,45,455"
07-Feb-2025,567.9,579.1,554.85,566.35,560.6,559.55,"57,47,620"
10-Feb-2025,561.7,566.6,546.5,559.55,561.25,560.8,"42,53,881"
11-Feb-2025,566,566,534,560.8,535.5,538.55,"64,16,783"
12-Feb-2025,538.55,551.5,527,538.55,548.6,547.15,"54,67,745"
13-Feb-2025,547,560.25,538,547.15,548,548.65,"57,23,009"
14-Feb-2025,550.95,554.95,526.8,548.65,536.55,539.15,"67,63,071"
17-Feb-2025,537,553,525.1,539.15,550.45,550.35,"43,97,756"
18-Feb-2025,550.95,554.45,539.1,550.35,551.5,553.35,"29,88,732"
19-Feb-2025,547.8,559.75,546.5,553.35,556.5,557.8,"40,66,886"
20-Feb-2025,557,582.25,557,557.8,580.1,580.85,"75,90,778"
21-Feb-2025,580.85,594.7,576.7,580.85,581.5,585.1,"93,28,402"
24-Feb-2025,576,581.75,568.8,585.1,577.65,577.2,"45,23,171"
25-Feb-2025,581.8,586.75,571.5,577.2,575.2,574.25,"62,22,936"
27-Feb-2025,581.3,608.8,580.3,574.25,604,606.8,"1,70,99,035"
28-Feb-2025,609.95,620,602.25,606.8,619,617.3,"2,37,71,834"
